"Gene","DN1_ZT3_1","DN1_ZT7_1","DN1_ZT11_1","DN1_ZT15_1","DN1_ZT19_1","DN1_ZT23_1","DN1_ZT3_2","DN1_ZT7_2","DN1_ZT11_2","DN1_ZT15_2","DN1_ZT19_2","DN1_ZT23_2"
"FBtr0075363",0.313157623560037,0.248494866778111,1,0.0762009594155447,0.446944578857191,0.542997097069439,1,0.0857006891431392,0.243681002920584,0,0.933107856962301,0.751045853642231
"FBtr0075872",0,0,1,0,0,0,1,0,0,0,0,0
"FBtr0075903",0,0,1,0,0.0394362863697521,0,0,0,0,0,1,0
"FBtr0075985",0,0.434806190865219,0,1,0.517530050438017,0,0.64112734091653,1,0,0.117195286587162,0.0785191258848363,0
"FBtr0076048",0.489881077791285,0.421060746485132,1,0.486839462932646,0.538597429586892,0.527913844373066,1,0.497568118731049,0.220746320292764,0.680107330760189,0.462265748991434,0.228848089521574
"FBtr0076984",0.974106528547256,0.264930609950594,0.695309463799733,0.176610827440825,0.731211283466802,1,0,0.145908762340382,0.829752803565448,0.587500931706176,1,0.803744749097053
"FBtr0077130",0.412049504684259,0.414158111296852,1,0.508006396103631,0.807504911380639,0.555576180399233,0.827004116207047,0.396899007025677,0.0705338173598746,0.245655721743635,0.936872653079984,1
"FBtr0077259",1,0.0885008998276335,0.127195642445114,0.222925889719268,0.366177035972858,0.302400866660211,1,0.269957170800888,0.682306808177635,0.822580407955011,0.918528046697265,0.105146419509912
"FBtr0077478",0.374362509010318,0,0,0,0.895733822246832,1,0,0,0,0,1,0
"FBtr0077679",0.662723203354862,0.545205155468393,1,0.727889761581322,0.688074906958809,0.57366252409232,0.645623460215806,0.958642568619696,0.398654554230269,0.592755859538968,1,0.454614447448292
"FBtr0077722",0.429103809655598,0.57857275397388,0,1,0.584308121462277,0.428669654815923,0,1,0.541599251905737,0.652945168128476,0.561681789398405,0.66770222972548
"FBtr0078045",0.452231223518619,1,0,0.278772758435021,0.216409919600432,0.563734969615256,0,0.570542322599411,0,0,0.38825353190702,1
"FBtr0078223",0.144197486171529,0.724676984775365,0,1,0,0.577772143447548,0.833465543191489,1,0,0,0,0
"FBtr0078310",0.56266070294816,0.754053388843923,1,0.827700076410227,0.421560302573212,0.751491788581656,0.339662404870751,0.835436972377709,0.637323421144581,0.807154514300515,0.6170457917808,1
"FBtr0078380",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0078436",0.693940260604492,0.633248775003859,0,0.52064297585401,0.786497990265511,1,0.0807550999041748,0.565196029944885,0.688746930746045,0.442850420157492,1,0.424555480604462
"FBtr0078603",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0078725",0.328890422829799,0.300452884377171,1,0.579589115554597,0.214509497071834,0.189448618633563,0.396614637794571,1,0.313754049379875,0.204889690688591,0.294491848002553,0.41400416269832
"FBtr0079354",0.0552727050967202,1,0,0.425902825386837,0.881670042816575,0,0.576369732649404,0.777975711806488,0,0.460940715098566,1,0.606032137019703
"FBtr0079367",0.471919045652276,0.177875259899408,0,1,0.517530050438017,0,0.0617381883845547,1,0.631865793890027,0,0.0756110101113238,0
"FBtr0079473",0,0,0,0,1,0,0,0,0,1,0.744428174084352,0
"FBtr0079475",0,0,0,0,1,0,0,0,0,1,0.744428174084352,0
"FBtr0079753",0.171159025022692,0,1,0.234464490509368,0,0.135467051243935,0,0,0,1,0.0595542539267482,0.153390115047325
"FBtr0079838",0.626909188386922,0,0,0,1,0,0,0,0,0,1,0
"FBtr0079971",0.407635201292591,0.831984922905563,0.790756582575497,1,0.670135065310765,0.829621539309299,0.556714966032061,0.90451831631614,0.771571148436677,0.397519812390028,0.627360889971709,1
"FBtr0079989",0.108148114628647,0.978313929446743,0,1,0.431275042031681,0.192590714482516,1,0.114267585524186,0,0.130568318723018,0.0583192410601438,0.150209170728446
"FBtr0079990",0.108148114628647,0.978313929446743,0,1,0.431275042031681,0.192590714482516,1,0.114267585524186,0,0.130568318723018,0.0583192410601438,0.150209170728446
"FBtr0080255",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0080279",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0080298",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0080299",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0080993",0.345565392932601,0,0,0,0.275610406845179,1,0,0,0,0,1,0
"FBtr0081227",0,0,1,0,0,0,0,0,1,0,0,0
"FBtr0081664",0,0,0,0,1,0.235032227834599,0,0.211015273532182,1,0.107163313642114,0.885506827928049,0
"FBtr0081665",0,0,0,0,1,0.558201541107173,0,0.18961415198151,0.269574067517807,0.288884503471912,1,0
"FBtr0081666",0,0,0,0,1,0.687017281362674,0,0.235121548457072,0.33427184372208,0.358216784305171,1,0
"FBtr0081667",0,0,0,0,1,0.637944618408197,0,0.226078411977954,0.321415234348154,0.344439215678049,1,0
"FBtr0081668",0,0,0,0,1,0.637944618408197,0,0.217705137460252,0.309510966409334,0.331682207689973,1,0
"FBtr0081708",0.164819801873703,0.0828316222593703,1,0.0508006396103631,0.315490290958017,0.24948515270758,0,0,1,0,0.349017330827497,0.66778534096692
"FBtr0082427",0,0,1,0,0,0,1,0,0,0,0,0
"FBtr0082716",1,0.16751956038802,0,0,0.16615910022741,0.742002126527371,0,0,0.710975366485252,1,0.319040646036151,0
"FBtr0082876",0.432651979918472,0.733059856995428,1,0.638183035105187,0.655628260897129,0.74845545812274,0.359545082229039,0.988012314745322,0.633084019230094,0.360417963233626,0.480582115714177,1
"FBtr0082965",0,1,0,0,0.330626266056216,0,0,0,0,0,1,0
"FBtr0083153",0,0,0,1,0,0,0,0,0,0,0,1
"FBtr0083160",0,0,1,0,0,0,0,0,0,0,0,1
"FBtr0083183",0,1,0,0.113574086769823,0,0.360909689542042,0,0.0586153537589395,1,0.133954142052643,0,0.205472412605206
"FBtr0083244",0.626909188386922,0,0,0,1,0,1,0,0,0.285618197206601,0.0255146679638129,0
"FBtr0083347",0,0,0,0,0.895733822246832,1,0,0,0,0,0.19412676595351,1
"FBtr0083348",0,1,0,0,0,0.332200964237561,0,0,0,1,0,0
"FBtr0083349",0,0,0,0,0.895733822246832,1,0,0,0,0,0.19412676595351,1
"FBtr0083350",0,1,0,0,0,0.354347695186732,0,0,0,1,0,0
"FBtr0083351",0,1,0,0,0,0.332200964237561,0,0,0,1,0,0
"FBtr0083352",0,0,0,0,0.895733822246832,1,0,0,0,0,0.19412676595351,1
"FBtr0084241",1,0,0,0,0,0,0,0,0,1,0,0
"FBtr0084273",0.385218374146679,0.959305764771312,1,0.806312477536577,0.949222241690545,0.53241701535407,0.227984762413594,0.208410146698451,1,0.292714606707627,0.59166747511709,0.947456124790673
"FBtr0084418",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0084606",0.32444434388594,0.652209286297829,0,1,0,0,1,0,0,0.609318820707415,0,0.350488065033041
"FBtr0084692",1,0.0866368173620482,0.249033075713992,0.0419481837060856,0.144729637527958,0.256214344143735,0.485133980290144,0.109498021508978,0.311346244305709,0.621201667765858,0.41570580183984,1
"FBtr0084971",0.43946903231646,0.392638181854945,0.296262293271191,0.112877354929571,0.856788873453492,1,0.810457750050289,0.340338259733468,0.69122605074955,1,0.893313808901223,0.596517114072931
"FBtr0084984",1,0,0,0,0.911501349818934,0.508801458190197,0,0,1,0.178605522736857,0.717978509130851,0.410944825210413
"FBtr0085545",0,0,0,0,1,0,0,0,0,0,0.291190148930265,1
"FBtr0085653",0,1,0,0.191656271424077,0,0,1,0,0,0.342741836647921,0,0.262866048774781
"FBtr0085766",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0086472",0.317866760756428,0.354992666825873,1,0.59872182397928,0.75116735942385,0.995844096942021,0.299192759094381,1,0.145815183205391,0.644574076229393,0.994575594541259,0.359531969852181
"FBtr0086481",0,0,1,0,0,0,0,0.276364902640711,0,1,0,0
